id,startDate,endDate,type,name,regionalScope,temporalScope,nationwide,subdivisions
86ee67fc-a51f-4f7b-a0c6-f6e9e11eb0ed,2023-06-08,2023-06-08,Public,Fronleichnam,Regional,FullDay,False,"BW, BY, RP, HE, NW, SL"
66234202-e1f0-4bd1-9504-45fdd4ae5808,2023-08-08,2023-08-08,Public,Friedensfest,Local,FullDay,False,BY-AU
07617cd9-9dcf-459b-b30d-ac612ae42cd9,2023-08-15,2023-08-15,Public,Mariä Himmelfahrt,Regional,FullDay,False,"BY, SL"
dc8830b1-0d82-45ad-911f-5781056ed994,2023-09-20,2023-09-20,Public,Weltkindertag,Regional,FullDay,False,TH
f4f1fe82-cd70-4d33-b456-f78f9b77f064,2023-10-03,2023-10-03,Public,Tag der Deutschen Einheit,National,FullDay,True,
0e16697c-6a3d-43c1-98cc-d322a330d2c0,2023-10-31,2023-10-31,Public,Reformationstag,Regional,FullDay,False,"HH, SH, BB, HB, MV, TH, SN, ST, NI"
ed4084d4-897c-4c1c-9d11-837874a5122f,2023-11-01,2023-11-01,Public,Allerheiligen,Regional,FullDay,False,"BW, BY, RP, NW, SL"
0044e1dc-f326-48a6-b006-4ab66d13bd04,2023-11-22,2023-11-22,Public,Buß- und Bettag,Regional,FullDay,False,SN
eca484e0-f6a7-4ca4-9891-5def5648c97c,2023-12-25,2023-12-25,Public,1. Weihnachtsfeiertag,Regional,FullDay,True,
f9e24f26-c4a9-44e7-bda8-3c56fa11eb55,2023-12-26,2023-12-26,Public,2. Weihnachtsfeiertag,Regional,FullDay,True,
58a1da08-fb96-4d9b-8d95-b1e06278c8f3,2024-01-01,2024-01-01,Public,Neujahr,Regional,FullDay,True,
ebf55361-f340-4852-a7fa-547143cf9cf2,2024-01-06,2024-01-06,Public,Heilige Drei Könige,Regional,FullDay,False,"BW, BY, ST"
c628bb86-927f-4086-8beb-061413603d99,2024-03-08,2024-03-08,Public,Internationaler Frauentag,Regional,FullDay,False,"BE, MV"
72299d8e-272c-44b6-8d50-86ff5cb01a9a,2024-03-29,2024-03-29,Public,Karfreitag,Regional,FullDay,True,
80e03d79-2d85-4f63-8196-28402341a431,2024-03-31,2024-03-31,Public,Ostersonntag,Regional,FullDay,False,BB
bd4e0c06-a2c5-4d2a-aa92-1fb7c59025e2,2024-04-01,2024-04-01,Public,Ostermontag,Regional,FullDay,True,
d849751c-921e-4be1-8b30-117a610c126c,2024-05-01,2024-05-01,Public,Tag der Arbeit,Regional,FullDay,True,
440aae4c-0d2b-45a4-9480-ae91b106c002,2024-05-09,2024-05-09,Public,Christi Himmelfahrt,Regional,FullDay,True,
989514bb-91bf-40e6-80bc-b14c18f25654,2024-05-19,2024-05-19,Public,Pfingstsonntag,Regional,FullDay,False,BB
2407e8d2-b6bc-4d5f-b19a-52d4eba5e498,2024-05-20,2024-05-20,Public,Pfingstmontag,Regional,FullDay,True,
3931407a-d2f7-4a89-966c-a94781f4a649,2024-05-30,2024-05-30,Public,Fronleichnam,Regional,FullDay,False,"BW, BY, RP, HE, NW, SL"
67210c1e-8bfe-4240-8e75-ccdd2f945347,2024-08-08,2024-08-08,Public,Friedensfest,Local,FullDay,False,BY-AU
a0ce548d-6447-4802-948a-1c4897938626,2024-08-15,2024-08-15,Public,Mariä Himmelfahrt,Regional,FullDay,False,"BY, SL"
14e793ec-208d-4646-8513-8493c0c70668,2024-09-20,2024-09-20,Public,Weltkindertag,Regional,FullDay,False,TH
a2454b44-b3d5-4681-a345-6eae46fb9f4b,2024-10-03,2024-10-03,Public,Tag der Deutschen Einheit,National,FullDay,True,
b08021e1-9df0-46e4-8adc-f8140b8ad1a9,2024-10-31,2024-10-31,Public,Reformationstag,Regional,FullDay,False,"HH, SH, BB, HB, MV, TH, SN, ST, NI"
5e49e26d-44a2-4751-a394-9b83c5ea47f8,2024-11-01,2024-11-01,Public,Allerheiligen,Regional,FullDay,False,"BW, BY, RP, NW, SL"
38405704-5785-47a4-92b1-1b025a5f7e3c,2024-11-20,2024-11-20,Public,Buß- und Bettag,Regional,FullDay,False,SN
332d7a5e-c693-4d2d-bdf5-957dd4409c91,2024-12-25,2024-12-25,Public,1. Weihnachtsfeiertag,Regional,FullDay,True,
717b466d-05f3-4810-915b-96625ca2aebf,2024-12-26,2024-12-26,Public,2. Weihnachtsfeiertag,Regional,FullDay,True,
